BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0062,9.45,13,2838.196,1988.02,328.745,5.58,0.44,57.03,4.6,10.75,0.34,7.06,0.23,1,0.02,0.95,0.04,0.03,0.31,0.34,0.14,0.12,0.03,11.09,0.079,0.326,Canga
DH-0062,13,16,2838.196,1988.02,325.47,5.48,0.44,51.89,5.27,11.85,0.45,7.85,0.31,1.06,0.02,1.14,0.03,0.03,0.22,0.39,0.17,0.15,0.04,10.68,0.08,0.326,Canga
DH-0062,16,18.75,2838.196,1988.02,322.595,6.67,0.6,50.04,4.27,11.15,0.7,7.56,0.73,1.14,0.02,1.18,0.02,0.04,0.47,0.49,0.2,0.19,0.05,10.37,0.09,0.444,Canga
DH-0062,18.75,22,2838.196,1988.02,319.595,3.59,0.4,71.63,1.52,4.74,2.12,2.17,0.28,0.48,0.01,0.42,0.01,0.03,1.28,0.8,0.32,0.32,0.09,4.89,0.111,0.296,Carbonatito
DH-0062,22,25,2838.196,1988.02,316.47,3.96,0.42,68.78,1.44,4.78,1.32,4.85,0.9,0.46,0.01,0.55,0.01,0.04,0.82,0.6,0.22,0.26,0.07,5.98,0.106,0.311,Carbonatito
DH-0062,25,28,2838.196,1988.02,313.47,4.48,0.67,60.38,2.05,5.06,1.1,8.44,1,0.36,0.01,0.6,0.02,0.05,1.09,0.62,0.25,0.26,0.07,7.59,0.15,0.496,Carbonatito
DH-0062,28,31,2838.196,1988.02,310.47,12.45,12.15,46.83,3.55,4.38,1.5,8.95,0.56,0.29,0.01,0.61,0.02,0.07,1.08,0.57,0.23,0.23,0.06,4.55,0.976,9,Carbonatito
DH-0062,31,34,2838.196,1988.02,307.47,16.2,18.6,35.12,7.62,4.1,1.27,8.77,0.47,0.17,0.01,0.5,0.01,0.09,0.69,0.54,0.23,0.21,0.06,3.2,1.148,13.778,Carbonatito
DH-0062,34,37,2838.196,1988.02,304.47,20.1,24.5,28.36,12.25,2.26,0.89,5.11,0.27,0.21,0.01,0.51,0.02,0.1,0.82,0.64,0.26,0.24,0.07,2.74,1.219,18.148,Carbonatito
DH-0062,37,40,2838.196,1988.02,301.47,9.19,9.44,23.07,37.6,4.09,0.99,6.58,0.7,0.28,0.01,0.41,0.03,0.07,1,0.52,0.21,0.21,0.06,4.24,1.027,6.993,Carbonatito
DH-0062,40,43,2838.196,1988.02,298.47,8.81,10.45,33.42,26.7,5.1,1.82,6.71,0.31,0.14,0.01,0.25,0.01,0.06,0.88,0.33,0.12,0.13,0.03,3.21,1.186,7.741,Carbonatito
DH-0062,43,46,2838.196,1988.02,295.47,17.85,21.7,30.94,14.15,1.68,1.56,4.79,0.39,0.21,0.01,0.46,0.01,0.09,1.07,0.55,0.22,0.22,0.06,1.88,1.216,16.074,Carbonatito
DH-0062,46,49,2838.196,1988.02,292.47,8.26,7.86,36.55,27.6,2.71,1.54,8.55,0.15,0.16,0.01,0.47,0.02,0.05,0.83,0.46,0.17,0.18,0.05,2.91,0.952,5.822,Carbonatito
DH-0062,49,52.05,2838.196,1988.02,289.445,8.1,7.72,40.46,20.1,2.97,2.04,11,0.28,0.19,0.01,0.45,0.02,0.04,0.98,0.46,0.16,0.18,0.05,3.29,0.953,5.719,Carbonatito
DH-0062,52.05,54,2838.196,1988.02,286.945,12.2,16,24.04,17.7,8.5,4.28,7.24,0.6,0.04,0.01,0.27,0.01,0.07,0.4,0.27,0.08,0.15,0.03,5.82,1.311,11.852,Bebedourito
DH-0062,54,57,2838.196,1988.02,284.47,16.25,20,27.17,19.8,3.34,1.24,3.78,0.43,0.09,0.01,0.45,0.06,0.1,0.54,0.33,0.12,0.16,0.04,3.86,1.231,14.815,Carbonatito
DH-0062,57,60,2838.196,1988.02,281.47,7.61,8.47,31.07,37.9,1.72,1.24,5.43,0.2,0.11,0.01,0.26,0.02,0.05,0.8,0.33,0.12,0.14,0.04,2.65,1.113,6.274,Carbonatito
DH-0062,60,63,2838.196,1988.02,278.47,10.3,12.85,25.8,37.3,2.63,1.26,3.84,0.21,0.1,0.01,0.26,0.03,0.06,0.56,0.21,0.08,0.09,0.02,2.86,1.248,9.519,Carbonatito
DH-0062,63,66.7,2838.196,1988.02,275.12,12.45,15.4,29.03,30.3,1.22,1.33,5.33,0.35,0.07,0.01,0.32,0.03,0.08,0.62,0.34,0.12,0.14,0.04,1.6,1.237,11.407,Carbonatito
DH-0062,66.7,70,2838.196,1988.02,271.62,6.77,9.18,15.11,36.4,6.16,12.2,4.11,0.26,0.07,0.01,0.15,0.03,0.08,0.45,0.23,0.09,0.09,0.02,6.89,1.356,6.77,Bebedourito
DH-0062,70,72.15,2838.196,1988.02,268.895,11.9,16.65,15.4,21.2,6.67,13,6.56,0.27,0.08,0.01,0.21,0.04,0.12,0.37,0.29,0.11,0.11,0.03,7.19,1.399,11.9,Bebedourito
DH-0062,72.15,75,2838.196,1988.02,266.395,16.3,20.6,35.51,6.6,2.54,2.57,5.16,0.63,0.15,0.01,0.36,0.01,0.11,1.16,0.51,0.21,0.22,0.06,4.12,1.264,15.259,Carbonatito
DH-0062,75,78,2838.196,1988.02,263.47,10.45,13.85,27.34,19.25,5,7.41,6.3,0.4,0.12,0.01,0.19,0.03,0.08,0.89,0.29,0.1,0.12,0.03,6.31,1.325,10.259,Carbonatito
DH-0062,78,81,2838.196,1988.02,260.47,12.65,17.75,18.52,23.8,3.07,10.2,4.48,0.2,0.11,0.01,0.29,0.08,0.22,0.72,0.35,0.17,0.12,0.04,5.62,1.403,12.65,Carbonatito
DH-0062,81,84,2838.196,1988.02,257.47,12.35,21,15.14,29,2.46,9.83,3.85,0.23,0.09,0.01,0.22,0.03,0.15,0.5,0.28,0.12,0.11,0.03,4.23,1.7,12.35,Carbonatito
DH-0062,84,87,2838.196,1988.02,254.47,15.25,23.5,15.51,22.4,2.24,8.92,5.13,0.2,0.07,0.01,0.29,0.05,0.15,0.34,0.24,0.11,0.08,0.02,4.29,1.541,15.25,Carbonatito
DH-0062,87,90,2838.196,1988.02,251.47,22.9,31.4,16.22,10.6,2.29,5.25,4,0.24,0.15,0.01,0.37,0.02,0.12,0.66,0.45,0.2,0.17,0.05,4.11,1.371,22.9,Carbonatito
DH-0062,90,91.6,2838.196,1988.02,249.17,19.8,27.3,17.58,11.8,3.14,6.41,4.6,0.54,0.16,0.01,0.31,0.1,0.11,0.54,0.28,0.11,0.11,0.03,4.94,1.379,19.8,Carbonatito
DH-0062,91.6,93.95,2838.196,1988.02,247.195,30.4,41.8,11.91,4.67,0.78,0.77,2,0.21,0.16,0.01,0.39,0.03,0.09,0.36,0.27,0.12,0.11,0.03,3.42,1.375,30.4,Foscrete
DH-0062,93.95,97,2838.196,1988.02,244.495,13.35,21,15.09,26.7,2.96,10,4.6,0.17,0.15,0.01,0.27,0.28,0.22,0.5,0.26,0.12,0.09,0.03,5.16,1.573,13.35,Bebedourito
DH-0062,97,100,2838.196,1988.02,241.47,12.3,23.5,14.45,23.9,3.15,11.95,4.9,0.07,0.07,0.01,0.23,0.11,0.16,0.33,0.16,0.08,0.06,0.02,4.57,1.911,12.3,Bebedourito
DH-0062,100,103,2838.196,1988.02,238.47,23.7,33.2,16.51,8.81,2.05,4.86,2.42,0.4,0.18,0.01,0.41,0.08,0.12,0.36,0.28,0.12,0.1,0.03,4.17,1.401,23.7,Bebedourito
DH-0062,103,106,2838.196,1988.02,235.47,13,20.1,16.84,19.95,3.74,11.5,5.39,0.14,0.17,0.01,0.29,0.28,0.28,0.57,0.23,0.11,0.08,0.02,5.94,1.546,13,Bebedourito
DH-0062,106,109,2838.196,1988.02,232.47,14.8,22.2,18.72,17.1,3.15,9.59,5.28,0.46,0.22,0.01,0.32,0.22,0.21,0.68,0.34,0.15,0.12,0.03,5.39,1.5,14.8,Bebedourito
DH-0062,109,111.2,2838.196,1988.02,229.87,16,24.7,21.7,15.35,2.12,8.47,3.65,0.24,0.17,0.01,0.35,0.13,0.28,0.62,0.33,0.15,0.12,0.03,4.25,1.544,16,Bebedourito
DH-0062,111.2,112.7,2838.196,1988.02,228.02,8.77,23.3,11.38,23.5,2.21,15.95,3.18,0.23,0.09,0.01,0.32,0.11,0.23,0.28,0.16,0.07,0.06,0.02,9.54,2.657,8.77,Bebedourito
DH-0062,112.7,116,2838.196,1988.02,225.62,10.6,20.7,14.92,25.2,2.56,14.4,5.08,0.18,0.06,0.01,0.24,0.15,0.3,0.29,0.21,0.1,0.08,0.02,4.56,1.953,10.6,Bebedourito
DH-0062,116,119,2838.196,1988.02,222.47,21.7,30.3,19.64,8.99,1.82,5.95,3.77,0.47,0.18,0.01,0.48,0.22,0.22,0.66,0.44,0.18,0.18,0.05,4.06,1.396,21.7,Bebedourito
DH-0062,119,122,2838.196,1988.02,219.47,19.95,29.6,11.2,13.2,2.85,9.62,4.3,0.21,0.15,0.01,0.29,0.05,0.1,0.57,0.19,0.08,0.08,0.02,5.61,1.484,19.95,Bebedourito
DH-0062,122,125,2838.196,1988.02,216.47,10.85,20.4,14.5,25.6,2.66,13.45,4.25,0.13,0.08,0.01,0.23,0.31,0.51,0.35,0.2,0.09,0.07,0.02,5.26,1.88,10.85,Bebedourito
DH-0062,125,128.9,2838.196,1988.02,213.02,13.5,23.2,12.91,23,2.2,12.6,3.76,0.12,0.08,0.01,0.28,0.33,0.73,0.33,0.21,0.1,0.08,0.02,5.64,1.719,13.5,Bebedourito
DH-0062,128.9,131.85,2838.196,1988.02,209.595,3.3,47.8,3.75,0.66,0.03,3.86,0.08,0.03,0.24,0.3,1.18,0.06,0.04,0.17,0.11,0.05,0.04,0.01,37.23,14.485,3.3,Carbonatito
DH-0063,0,3.7,3040.696,2076.702,334.26,3.14,0.39,29.6,8.98,25.3,0.58,14.2,0.24,0.36,0.01,0.44,0.03,0.04,0.2,0.37,0.17,0.13,0.04,14.04,0.124,0.289,Argilito
DH-0063,3.7,7,3040.696,2076.702,330.76,6.14,1.27,43.72,9.4,17.75,0.38,5.68,0.15,0.35,0.02,0.8,0.08,0.04,0.14,0.27,0.12,0.1,0.03,12.27,0.207,0.941,Canga
DH-0063,7,10.75,3040.696,2076.702,327.235,6.64,1.3,51.48,6.26,13.45,0.61,4.3,0.15,0.74,0.01,0.99,0.05,0.04,1.45,0.36,0.16,0.14,0.04,11.3,0.196,0.963,Canga
DH-0063,10.75,15,3040.696,2076.702,323.235,6.32,1.16,54.27,3.52,10.8,1.1,3.76,0.14,1.98,0.01,1,0.03,0.03,6.08,0.31,0.13,0.12,0.03,9.88,0.184,0.859,Canga
DH-0063,15,18.3,3040.696,2076.702,319.46,7.2,1.19,51.82,3.29,11.1,1.28,4.09,0.16,2.24,0.01,1.18,0.02,0.04,5.31,0.36,0.16,0.14,0.04,9.51,0.165,0.881,Canga
DH-0063,18.3,22,3040.696,2076.702,315.96,8.36,1.34,56.96,1.34,10.6,1.62,3.76,0.18,1.14,0.01,1.18,0.01,0.04,1.34,0.47,0.21,0.19,0.05,8.52,0.16,0.993,Carbonatito
DH-0063,22,25.5,3040.696,2076.702,312.36,7.64,1.07,59.08,0.78,9.29,1.86,3.25,0.19,0.95,0.01,1.18,0.01,0.04,1.15,0.78,0.36,0.3,0.08,7.22,0.14,0.793,Carbonatito
DH-0063,25.5,29,3040.696,2076.702,308.86,5.42,0.77,65.11,0.62,6.29,3.73,2.28,0.24,1.33,0.01,0.92,0.01,0.04,3.67,0.82,0.37,0.33,0.09,4.36,0.142,0.57,Magnetitito
DH-0063,29,31.85,3040.696,2076.702,305.685,1.58,0.26,81.87,0.34,2.29,6.35,1.54,0.24,0.36,0.01,0.18,0.01,0.03,1.75,0.32,0.13,0.14,0.04,0.11,0.165,0.193,Magnetitito
DH-0063,31.85,35,3040.696,2076.702,302.685,3.62,0.59,67.35,0.59,3.65,3.09,7.26,0.8,0.4,0.01,0.45,0.01,0.05,1.76,0.78,0.34,0.31,0.09,2.5,0.163,0.437,Bebedourito
DH-0063,35,38,3040.696,2076.702,299.61,7.81,7.43,52.95,6.81,3.71,1.82,9.82,0.36,0.24,0.01,0.47,0.02,0.05,1.15,0.54,0.26,0.2,0.06,3.2,0.951,5.504,Bebedourito
DH-0063,38,41,3040.696,2076.702,296.61,17.8,22.5,37.7,3.83,3.33,1.09,6.01,0.17,0.14,0.01,0.47,0.01,0.09,0.73,0.55,0.27,0.22,0.06,2.92,1.264,16.667,Bebedourito
DH-0063,41,44,3040.696,2076.702,293.61,15.65,19.9,43.63,3.36,1.91,4.47,4.86,0.5,0.11,0.01,0.35,0.02,0.08,0.82,0.29,0.12,0.12,0.03,1.27,1.272,14.741,Bebedourito
DH-0063,44,46.5,3040.696,2076.702,290.86,10.75,10.3,51.77,1.49,3.7,2.81,10.45,0.54,0.41,0.01,0.68,0.01,0.06,0.9,0.37,0.17,0.15,0.04,3.23,0.958,7.63,Bebedourito
DH-0063,46.5,50,3040.696,2076.702,287.86,0.79,0.37,85.3,0.37,1.1,6.76,1.34,0.37,0.12,0.01,0.1,0.01,0.03,0.95,0.12,0.05,0.06,0.01,-0.99,0.468,0.274,Magnetitito
DH-0063,50,53,3040.696,2076.702,284.61,2.21,0.41,82.83,0.37,2.48,6.61,2.35,0.52,0.61,0.01,0.48,0.02,0.05,1.03,0.13,0.05,0.06,0.02,-0.31,0.186,0.304,Magnetitito
DH-0063,53,56,3040.696,2076.702,281.61,0.39,0.17,88.18,0.37,0.97,6.99,1.31,0.19,0.04,0.02,0.06,0.02,0.04,0.96,0.09,0.04,0.04,0.01,-1.48,0.436,0.126,Magnetitito
DH-0063,56,59,3040.696,2076.702,278.61,1.63,0.71,79.96,0.46,1.29,6.35,4.18,0.44,0.12,0.01,0.19,0.02,0.03,1.15,0.27,0.11,0.12,0.03,-0.3,0.436,0.526,Magnetitito
DH-0063,59,62,3040.696,2076.702,275.61,9.13,10.75,67.51,0.33,0.76,5.17,1.19,0.1,0.15,0.01,0.26,0.01,0.06,0.98,0.53,0.32,0.16,0.05,-0.27,1.177,7.963,Magnetitito
DH-0063,62,66.05,3040.696,2076.702,272.085,12.85,16.1,60.95,0.78,0.72,4.87,1.49,0.14,0.06,0.01,0.31,0.01,0.07,0.8,0.2,0.09,0.09,0.02,-0.38,1.253,11.926,Magnetitito
DH-0063,66.05,68,3040.696,2076.702,269.085,19.2,21.7,35.56,0.95,3.13,2.19,7.81,0.31,0.24,0.01,0.81,0.01,0.1,0.93,0.44,0.19,0.19,0.05,3.37,1.13,16.074,Bebedourito
DH-0063,68,71,3040.696,2076.702,266.61,16.85,17.7,38.19,1.46,4.03,2.07,9.98,0.31,0.24,0.01,1.02,0.01,0.08,0.79,0.34,0.15,0.14,0.04,4.49,1.05,13.111,Bebedourito
DH-0063,71,74,3040.696,2076.702,263.61,15.95,22.1,29.61,7.87,3.3,4.95,9.2,0.2,0.11,0.01,0.61,0.02,0.11,0.74,0.4,0.2,0.14,0.04,3.92,1.386,15.95,Bebedourito
DH-0063,74,77,3040.696,2076.702,260.61,16,19.7,36.08,4.22,2.88,5.02,8.58,0.32,0.11,0.01,0.73,0.01,0.1,0.82,0.39,0.19,0.16,0.04,3.11,1.231,14.593,Bebedourito
DH-0063,77,80,3040.696,2076.702,257.61,24.2,31.2,25.95,2.8,2.2,3.13,4.39,0.24,0.19,0.01,0.72,0.01,0.11,0.6,0.35,0.16,0.14,0.04,3,1.289,23.111,Bebedourito
DH-0063,80,83.15,3040.696,2076.702,254.535,17.15,25.3,37.47,5.72,1,6.23,1.51,0.25,0.11,0.01,0.42,0.08,0.14,0.68,0.25,0.11,0.11,0.03,3.25,1.475,17.15,Magnetitito
DH-0063,83.15,86,3040.696,2076.702,251.535,7.85,22.9,16.04,23.1,1.81,12.8,3.94,0.13,0.08,0.18,0.39,2.35,0.22,0.27,0.19,0.09,0.07,0.02,6.73,2.917,7.85,Bebedourito
DH-0063,86,88.1,3040.696,2076.702,249.06,5.01,30.2,9.67,17,1.31,11.45,2.97,0.11,0.13,0.2,0.74,2.18,0.19,0.23,0.15,0.08,0.06,0.02,17.93,6.028,5.01,Bebedourito
DH-0064,0,3,3042.584,1960.042,344.79,5.49,1.14,46.8,7.31,16.1,0.69,7.08,0.18,0.46,0.03,0.68,0.06,0.04,0.25,0.27,0.12,0.11,0.03,12.15,0.208,0.844,Canga
DH-0064,3,7,3042.584,1960.042,341.29,5.87,1.05,53.77,5.08,12,1.13,5.83,0.22,0.59,0.02,0.88,0.02,0.04,0.42,0.39,0.18,0.15,0.04,10.05,0.179,0.778,Canga
DH-0064,7,10,3042.584,1960.042,337.79,3.42,0.41,69.96,1.42,5.68,4.29,4.06,0.22,0.67,0.02,0.7,0.01,0.04,1.27,0.38,0.18,0.15,0.04,3.96,0.12,0.304,Bebedourito
DH-0064,10,13,3042.584,1960.042,334.79,5.59,0.63,55.65,1.93,8.08,1.5,12.6,0.43,0.89,0.02,1.12,0.03,0.03,1.15,0.58,0.28,0.22,0.06,7.38,0.113,0.467,Bebedourito
DH-0064,13,16,3042.584,1960.042,331.79,8.63,0.7,47.37,1.7,9.29,1.92,11.65,0.96,0.92,0.01,0.9,0.01,0.05,2.7,0.53,0.22,0.22,0.06,7.25,0.081,0.519,Bebedourito
DH-0064,16,19,3042.584,1960.042,328.79,5.93,0.92,51.96,3.9,8.87,1.6,12.15,0.64,0.42,0.01,0.88,0.02,0.04,1.36,0.57,0.26,0.22,0.06,6.63,0.155,0.681,Bebedourito
DH-0064,19,22,3042.584,1960.042,325.79,5.44,0.95,49.52,5.55,9.55,0.77,12.9,0.49,0.3,0.01,0.67,0.03,0.05,1.38,0.52,0.26,0.19,0.05,7.73,0.175,0.704,Bebedourito
DH-0064,22,25,3042.584,1960.042,322.79,5.91,1.01,47.53,5.43,8.45,0.77,15.55,0.4,0.29,0.01,0.77,0.03,0.03,1.31,0.53,0.26,0.2,0.06,7.65,0.171,0.748,Bebedourito
DH-0064,25,28,3042.584,1960.042,319.79,5.01,0.94,40.54,21,6.17,0.74,11.6,0.49,0.27,0.01,0.66,0.03,0.04,1.47,0.51,0.23,0.2,0.05,6.44,0.188,0.696,Bebedourito
DH-0064,28,31,3042.584,1960.042,316.79,4.95,0.71,55.83,8.04,4.31,1.77,8.29,0.41,0.44,0.01,0.79,0.04,0.05,2.13,0.97,0.42,0.39,0.1,4.63,0.143,0.526,Bebedourito
DH-0064,31,34,3042.584,1960.042,313.79,6.63,2.26,48.13,3.82,7.14,1.36,15.15,0.4,0.42,0.01,1.18,0.03,0.05,1.9,0.62,0.3,0.24,0.07,6.28,0.341,1.674,Bebedourito
DH-0064,34,37,3042.584,1960.042,310.79,6.12,3.1,51.34,2.03,7.12,2.37,15,0.7,0.29,0.01,0.92,0.02,0.06,1.88,0.53,0.23,0.22,0.06,5.15,0.507,2.296,Bebedourito
DH-0064,37,39.8,3042.584,1960.042,307.89,10.55,17.15,31.09,12.35,4.7,7.73,8.17,0.28,0.06,0.01,0.31,0.01,0.14,0.87,0.3,0.14,0.12,0.03,4.71,1.626,10.55,Bebedourito
DH-0064,39.8,43,3042.584,1960.042,304.89,6.97,21.3,13.14,32.5,1.66,15.2,4.51,0.09,0.01,0.01,0.18,0.05,0.26,0.26,0.13,0.07,0.05,0.01,3.16,3.056,6.97,Bebedourito
DH-0064,43,46,3042.584,1960.042,301.79,13.25,23.2,17.08,18.8,2.54,11.3,6.72,0.14,0.05,0.01,0.27,0.1,0.17,0.37,0.24,0.11,0.09,0.03,4.4,1.751,13.25,Bebedourito
DH-0064,46,49,3042.584,1960.042,298.79,12.45,22,19.14,16.5,3.58,10.95,8.37,0.19,0.04,0.01,0.27,0.01,0.13,0.4,0.26,0.12,0.11,0.03,4.5,1.767,12.45,Bebedourito
DH-0064,49,52.25,3042.584,1960.042,295.665,4.98,15.9,13.66,31.9,3.52,17.85,5.19,0.08,0.01,0.01,0.13,0.08,0.19,0.23,0.18,0.09,0.07,0.02,4.9,3.193,4.98,Bebedourito
DH-0064,52.25,56,3042.584,1960.042,292.165,6.13,21.6,10.82,28.4,2.27,16.65,3.41,0.08,0.04,0.01,0.27,0.19,0.18,0.24,0.11,0.06,0.04,0.01,8.71,3.524,6.13,Bebedourito
DH-0064,56,59.35,3042.584,1960.042,288.615,5.99,22.1,12.65,26.7,1.7,16.7,3.58,0.09,0.04,0.01,0.3,0.14,0.18,0.28,0.13,0.06,0.05,0.01,8.94,3.689,5.99,Bebedourito
DH-0064,59.35,62,3042.584,1960.042,285.615,4.12,24.8,10.12,22.3,2.14,16.45,3.32,0.11,0.13,0.13,0.48,2.38,0.14,0.26,0.14,0.07,0.06,0.02,12.68,6.019,4.12,Bebedourito
DH-0064,62,64.4,3042.584,1960.042,283.09,5.12,21.1,12.06,22.9,2.19,18,3.99,0.13,0.16,0.22,0.41,2.68,0.16,0.31,0.14,0.07,0.06,0.02,9.88,4.121,5.12,Bebedourito
DH-0065,0,2.5,2939.366,1955.45,344.22,3.12,0.41,30.37,8.72,23.7,0.63,15.15,0.27,0.34,0.02,0.39,0.03,0.05,0.22,0.35,0.17,0.13,0.04,15.49,0.131,0.304,Solo
DH-0065,2.5,4.05,2939.366,1955.45,342.195,3.22,0.39,32.32,10.25,23.4,0.53,12.6,0.22,0.39,0.02,0.48,0.05,0.04,0.2,0.33,0.16,0.13,0.03,13.4,0.121,0.289,Argilito
DH-0065,4.05,7,2939.366,1955.45,339.945,4.85,0.85,35.18,14.6,20.4,0.33,7.32,0.14,0.48,0.04,0.71,0.11,0.03,0.15,0.23,0.11,0.09,0.02,12.6,0.175,0.63,Canga
DH-0065,7,10,2939.366,1955.45,336.97,5.95,1.16,44.39,9.45,16.4,0.36,6.42,0.15,0.41,0.03,0.68,0.07,0.03,0.15,0.24,0.11,0.09,0.03,12.01,0.195,0.859,Canga
DH-0065,10,13,2939.366,1955.45,333.97,6.58,1.36,42.11,10.05,17.65,0.35,6.7,0.16,0.47,0.04,0.81,0.08,0.04,0.14,0.26,0.11,0.1,0.03,12.15,0.207,1.007,Canga
DH-0065,13,16,2939.366,1955.45,330.97,7.49,1.64,41.8,8.48,16.7,0.41,7.24,0.2,0.44,0.03,0.98,0.05,0.03,0.18,0.32,0.15,0.12,0.03,11.81,0.219,1.215,Canga
DH-0065,16,19,2939.366,1955.45,327.97,5.32,0.98,55.18,6.94,11.45,0.92,5.36,0.18,0.34,0.02,0.78,0.03,0.03,0.29,0.31,0.12,0.12,0.03,9.69,0.184,0.726,Canga
DH-0065,19,22,2939.366,1955.45,324.97,6.83,1.22,53.16,5.56,12.1,0.66,4.73,0.16,0.6,0.02,1.18,0.03,0.03,0.55,0.33,0.15,0.13,0.03,10.66,0.179,0.904,Canga
DH-0065,22,23.55,2939.366,1955.45,322.695,9.76,1.73,45.3,4.78,14.05,0.56,4.96,0.21,1.11,0.02,1.18,0.02,0.03,1.02,0.47,0.21,0.19,0.05,11,0.177,1.281,Canga
DH-0065,23.55,27,2939.366,1955.45,320.195,9.35,1.41,49.05,3.62,11.3,0.83,5.83,0.32,1.28,0.01,1.18,0.01,0.05,0.88,0.75,0.34,0.31,0.08,9.66,0.151,1.044,Carbonatito
DH-0065,27,30,2939.366,1955.45,316.97,4.44,0.53,69.33,3.01,5.71,3.21,3.08,0.23,0.78,0.01,0.87,0.01,0.02,1.18,0.5,0.22,0.21,0.06,4.27,0.119,0.393,Carbonatito
DH-0065,30,34.25,2939.366,1955.45,313.345,4.66,0.67,62.67,3.81,4.79,2.45,3.36,0.89,1.08,0.01,0.84,0.01,0.03,1.8,0.86,0.36,0.35,0.1,4.94,0.144,0.496,Carbonatito
DH-0065,34.25,37,2939.366,1955.45,309.845,20.9,25.3,34.71,4.66,1.33,1.21,1.58,0.49,0.4,0.01,0.64,0.01,0.12,1.36,0.77,0.33,0.32,0.09,2.46,1.211,18.741,Carbonatito
DH-0065,37,40,2939.366,1955.45,306.97,20.5,25.6,40.44,2.18,0.91,1.58,1.39,0.36,0.27,0.01,0.52,0.01,0.12,1.1,0.72,0.32,0.3,0.08,1.6,1.249,18.963,Carbonatito
DH-0065,40,43,2939.366,1955.45,303.97,19,24.6,27.56,11,2.97,1.06,5.97,0.21,0.17,0.01,0.43,0.01,0.1,0.77,0.53,0.25,0.22,0.06,3.32,1.295,18.222,Carbonatito
DH-0065,43,46,2939.366,1955.45,300.97,25.6,31.8,24.43,1.4,2.13,0.5,5.34,0.22,0.25,0.01,0.67,0.01,0.12,0.81,0.71,0.33,0.28,0.08,2.86,1.242,23.556,Carbonatito
DH-0065,46,49,2939.366,1955.45,297.97,18.9,25.1,25.42,8.86,4.23,1.02,7.68,0.27,0.15,0.01,0.43,0.01,0.11,0.77,0.42,0.18,0.17,0.04,4.07,1.328,18.593,Carbonatito
DH-0065,49,52.75,2939.366,1955.45,294.595,15.3,22,18.14,23.2,2.84,6.62,4.68,0.28,0.11,0.01,0.29,0.01,0.12,0.74,0.32,0.14,0.14,0.04,4.36,1.438,15.3,Carbonatito
DH-0065,52.75,54.25,2939.366,1955.45,291.97,6.59,11.6,12.14,57.3,1.08,4.04,2.56,0.09,0.05,0.01,0.16,0.06,0.11,0.41,0.16,0.08,0.06,0.02,2.48,1.76,6.59,Silexito
DH-0065,54.25,57,2939.366,1955.45,289.845,14.4,21.5,17.87,27.3,2.64,3.44,5.51,0.2,0.06,0.01,0.26,0.04,0.11,0.52,0.3,0.14,0.12,0.03,3.67,1.493,14.4,Carbonatito
DH-0065,57,60,2939.366,1955.45,286.97,15.4,25,15.66,24.9,2.14,5.55,4.57,0.19,0.03,0.01,0.27,0.04,0.14,0.42,0.21,0.1,0.09,0.02,3.45,1.623,15.4,Bebedourito
DH-0065,60,63,2939.366,1955.45,283.97,15.2,25,14.68,28.5,1.74,5.88,3.89,0.14,0.02,0.01,0.26,0.02,0.16,0.41,0.2,0.1,0.09,0.02,2.85,1.645,15.2,Bebedourito
DH-0065,63,66,2939.366,1955.45,280.97,12.45,21.6,13.57,31.1,2.3,7.13,5,0.15,0.02,0.01,0.2,0.05,0.14,0.36,0.23,0.11,0.09,0.02,3.9,1.735,12.45,Bebedourito
DH-0065,66,69,2939.366,1955.45,277.97,15.7,24,12.16,30.3,1.85,4.49,4.4,0.15,0.03,0.01,0.21,0.02,0.09,0.39,0.21,0.1,0.08,0.02,3.62,1.529,15.7,Carbonatito
DH-0065,69,72,2939.366,1955.45,274.97,11.45,22.5,16.79,26,2.59,9.05,5.7,0.14,0.03,0.01,0.22,0.02,0.15,0.4,0.21,0.11,0.08,0.02,3.9,1.965,11.45,Carbonatito
DH-0065,72,75,2939.366,1955.45,271.97,23.8,33,23.24,5.51,2.02,0.97,5.03,0.19,0.15,0.01,0.45,0.02,0.12,0.75,0.52,0.24,0.21,0.06,3.07,1.387,23.8,Carbonatito
DH-0065,75,77.6,2939.366,1955.45,269.17,15.45,22.9,23.62,18.25,2.75,4.35,5.63,0.2,0.16,0.01,0.36,0.04,0.14,0.71,0.34,0.15,0.14,0.04,3.74,1.482,15.45,Carbonatito
DH-0065,77.6,79.25,2939.366,1955.45,267.045,33.6,46.5,12.1,0.75,0.12,0.52,0.55,0.02,0.07,0.01,0.33,0.01,0.06,0.31,0.31,0.14,0.13,0.03,2.1,1.384,33.6,Foscrete
DH-0065,79.25,82,2939.366,1955.45,264.845,14.7,23.8,17.66,17.85,3.14,9.41,5.27,0.18,0.1,0.01,0.29,0.05,0.13,0.41,0.19,0.09,0.08,0.02,4.99,1.619,14.7,Bebedourito
